feature,xy_dependence,xd_dependence
issue_d,0.03459190343862173,0.024892296713851403
loan duration,0.048211647205196106,0.030266231344421524
annual_inc,0.003535642070735534,0.0018282169350400945
avg_cur_bal,0.0042018919092490226,0.0
bc_open_to_buy,0.0026092288349259807,0.00016417845814720167
bc_util,0.0016401552199927227,0.0009232806619201561
delinq_2yrs,0.004912713275765368,0.004005133524526139
dti,0.004303783231716762,0.0002681462022089409
fico_range_high,0.015926937325714707,0.007781224903499195
funded_amnt,0.010300823166312423,0.003952218089632309
inq_last_6mths,0.025200945277108477,0.01727508196423244
int_rate,0.03681862248777423,0.0013947370194073994
mo_sin_old_rev_tl_op,0.003745891321006667,0.0012733148429664443
mo_sin_rcnt_rev_tl_op,0.004261695853775338,0.0018109811597575298
mo_sin_rcnt_tl,0.007562510641557774,0.004124566139956265
mort_acc,0.01825086854352942,0.011043278851454286
mths_since_recent_bc,0.0030937730793325624,0.00037859288786656897
num_actv_bc_tl,0.020320624740612914,0.015706278799015205
num_bc_tl,0.010007705974936165,0.006849022115951842
num_il_tl,0.005872167359472158,0.005045237724383922
num_rev_accts,0.005453360413262054,0.004861851127526462
open_acc,0.009356360573160805,0.006589126927867728
pub_rec,0.005357028130627661,0.003781374269531179
pub_rec_bankruptcies,0.006719784455005984,0.005518033065550432
revol_bal,0.001002207143117051,0.0009041105392681992
revol_util,0.0010904623124827761,0.0
tax_liens,0.0001507861923004672,0.0
zip_code,0.0028463631408954804,0.6938975881144837
emp_length_parsed,0.042099234176033784,0.031159982100513073
loan_duration_parsed,0.048211647205196106,0.030266231344421524
emp_length,0.00018416446227338679,0.000137504611228495
grade,0.03175420665284784,8.916759970117871e-05
home_ownership,0.0024908179601293573,8.598578415464075e-05
purpose,0.0011812696725208805,0.00030390321031522347
sub_grade,0.033670061919505244,0.00011313858397047792
